1,0,Heflin city
1,0,Helena city
1,0,Henagar city
1,0,Highland Lake town
1,0,Hillsboro town
1,0,Hobson City town
1,0,Hodges town
1,0,Hokes Bluff city
1,0,Holly Pond town
1,0,Hollywood town
1,0,Homewood city
1,0,Hoover city
1,0,Horn Hill town
1,0,Hueytown city
1,0,Huntsville city
1,0,Hurtsboro town
1,0,Hytop town
1,0,Ider town
1,0,Indian Springs Village city
1,0,Irondale city
1,0,Jackson city
1,0,Jacksons' Gap town
1,0,Jacksonville city
1,0,Jasper city
1,0,Jemison city
1,0,Kansas town
1,0,Kellyton town
1,0,Kennedy town
1,0,Killen town
1,0,Kimberly city
1,0,Kinsey town
1,0,Kinston town
1,0,La Fayette city
1,0,Lakeview town
1,0,Lake View town
1,0,Lanett city
1,0,Langston town
1,0,Leeds city
1,0,Leesburg town
1,0,Leighton town
1,0,Lester town
1,0,Level Plains town
1,0,Lexington town
1,0,Libertyville town
1,0,Lincoln city
1,0,Linden city
1,0,Lineville city
1,0,Lipscomb city
1,0,Lisman town
1,0,Littleville town
1,0,Livingston city
1,0,Loachapoka town
1,0,Lockhart town
1,0,Locust Fork town
1,0,Louisville town
1,0,Lowndesboro town
1,0,Loxley town
1,0,Luverne city
1,0,Lynn town
1,0,McIntosh town
1,0,McKenzie town
1,0,McMullen town
1,0,Madison city
1,0,Madrid town
1,0,Magnolia Springs town
1,0,Malvern town
1,0,Maplesville town
1,0,Margaret town
1,0,Marion city
1,0,Maytown town
1,0,Memphis town
1,0,Mentone town
1,0,Midfield city
1,0,Midland City town
1,0,Midway town
1,0,Millbrook city
1,0,Millport town
1,0,Millry town
1,0,Mobile city
1,0,Monroeville city
1,0,Montevallo city
1,0,Montgomery city
1,0,Moody city
1,0,Mooresville town
1,0,Morris town
1,0,Mosses town
1,0,Moulton city
1,0,Moundville town
1,0,Mountain Brook city
1,0,Mount Vernon town
1,0,Mulga town
1,0,Munford town
1,0,Muscle Shoals city
1,0,Myrtlewood town
1,0,Napier Field town
1,0,Natural Bridge town
1,0,Nauvoo town
1,0,Nectar town
1,0,Needham town
1,0,Newbern town
1,0,New Brockton town
1,0,New Hope city
1,0,New Site town
1,0,Newton town
1,0,Newville town
1,0,North Courtland town
1,0,North Johns town
1,0,Northport city
1,0,Notasulga town
1,0,Oak Grove town
1,0,Oak Hill town
1,0,Oakman town
1,0,Odenville town
1,0,Ohatchee town
1,0,Oneonta city
1,0,Onycha town
1,0,Opelika city
1,0,Opp city
1,0,Orange Beach city
1,0,Orrville town
1,0,Owens Cross Roads town
1,0,Oxford city
1,0,Ozark city
1,0,Paint Rock town
1,0,Parrish town
1,0,Pelham city
1,0,Pell City city
1,0,Pennington town
1,0,Perdido Beach town
1,0,Petrey town
1,0,Phenix City city
1,0,Phil Campbell town
1,0,Pickensville town
1,0,Piedmont city
1,0,Pike Road town
1,0,Pinckard town
1,0,Pine Apple town
1,0,Pine Hill town
1,0,Pine Ridge town
1,0,Pinson city
1,0,Pisgah town
1,0,Pleasant Grove city
1,0,Pleasant Groves town
1,0,Pollard town
1,0,Powell town
1,0,Prattville city
1,0,Priceville town
1,0,Prichard city
1,0,Providence town
1,0,Ragland town
1,0,Rainbow City city
1,0,Rainsville city
1,0,Ranburne town
1,0,Red Bay city
1,0,Red Level town
1,0,Reece City town
1,0,Reform town
1,0,Rehobeth town
1,0,Repton town
1,0,Ridgeville town
1,0,River Falls town
1,0,Riverside town
1,0,Riverview town
1,0,Roanoke city
1,0,Robertsdale city
1,0,Rockford town
1,0,Rogersville town
1,0,Rosa town
1,0,Russellville city
1,0,Rutledge town
1,0,St. Florian town
1,0,Samson city
1,0,Sand Rock town
1,0,Sanford town
1,0,Saraland city
1,0,Sardis City town
1,0,Satsuma city
1,0,Scottsboro city
1,0,Section town
1,0,Selma city
1,0,Semmes city
1,0,Sheffield city
1,0,Shiloh town
1,0,Shorter town
1,0,Silas town
1,0,Silverhill town
1,0,Sipsey town
1,0,Skyline town
1,0,Slocomb city
1,0,Smiths Station city
1,0,Snead town
1,0,Somerville town
1,0,Southside city
1,0,South Vinemont town
1,0,Spanish Fort city
1,0,Springville city
1,0,Steele town
1,0,Stevenson city
1,0,Sulligent city
1,0,Sumiton city
1,0,Summerdale town
1,0,Susan Moore town
1,0,Sweet Water town
1,0,Sylacauga city
1,0,Sylvania town
1,0,Sylvan Springs town
1,0,Talladega city
1,0,Talladega Springs town
1,0,Tallassee city
1,0,Tarrant city
1,0,Taylor town
1,0,Thomaston town
1,0,Thomasville city
1,0,Thorsby town
1,0,Town Creek town
1,0,Toxey town
1,0,Trafford town
1,0,Triana town
1,0,Trinity town
1,0,Troy city
1,0,Trussville city
1,0,Tuscaloosa city
1,0,Tuscumbia city
1,0,Tuskegee city
1,0,Twin town
1,0,Union town
1,0,Union Grove town
1,0,Union Springs city
1,0,Uniontown town
1,0,Valley city
1,0,Valley Grande city
1,0,Valley Head town
1,0,Vance town
1,0,Vernon city
1,0,Vestavia Hills city
1,0,Vina town
1,0,Vincent town
1,0,Vredenburgh town
1,0,Wadley town
1,0,Waldo town
1,0,Walnut Grove town
1,0,Warrior city
1,0,Waterloo town
1,0,Waverly town
1,0,Weaver city
1,0,Webb town
1,0,Wedowee town
1,0,West Blocton town
1,0,West Jefferson town
1,0,Westover town
1,0,West Point town
1,0,Wetumpka city
1,0,White Hall town
1,0,Wilsonville town
1,0,Wilton town
1,0,Winfield city
1,0,Woodland town
1,0,Woodstock town
1,0,Woodville town
1,0,Yellow Bluff town
1,0,York city
2,0,Alaska
2,13,Aleutians East Borough
2,16,Aleutians West Census Area
2,20,Anchorage Municipality
2,50,Bethel Census Area
2,60,Bristol Bay Borough
2,68,Denali Borough
2,70,Dillingham Census Area
2,90,Fairbanks North Star Borough
2,100,Haines Borough
2,105,Hoonah-Angoon Census Area
2,110,Juneau City and Borough
2,122,Kenai Peninsula Borough
2,130,Ketchikan Gateway Borough
2,150,Kodiak Island Borough
2,158,Kusilvak Census Area
2,164,Lake and Peninsula Borough
2,170,Matanuska-Susitna Borough
2,180,Nome Census Area
2,185,North Slope Borough
2,188,Northwest Arctic Borough
2,195,Petersburg Borough
2,198,Prince of Wales-Hyder Census Area
2,220,Sitka City and Borough
2,230,Skagway Municipality
2,240,Southeast Fairbanks Census Area
2,261,Valdez-Cordova Census Area
2,275,Wrangell City and Borough
2,282,Yakutat City and Borough
2,290,Yukon-Koyukuk Census Area
2,0,Adak city
2,0,Akhiok city
2,0,Akiak city
2,0,Akutan city
2,0,Alakanuk city
2,0,Aleknagik city
2,0,Allakaket city
2,0,Ambler city
2,0,Anaktuvuk Pass city
2,0,Anchorage municipality
2,0,Anderson city
2,0,Angoon city
2,0,Aniak city
2,0,Anvik city
2,0,Atka city
2,0,Atqasuk city
2,0,Barrow city
2,0,Bethel city
2,0,Bettles city
2,0,Brevig Mission city
2,0,Buckland city
2,0,Chefornak city
2,0,Chevak city
2,0,Chignik city
2,0,Chuathbaluk city
2,0,Clark's Point city
2,0,Coffman Cove city
2,0,Cold Bay city
2,0,Cordova city
2,0,Craig city
2,0,Deering city
2,0,Delta Junction city
2,0,Dillingham city
2,0,Diomede city
2,0,Eagle city
2,0,Edna Bay city
2,0,Eek city
2,0,Egegik city
2,0,Ekwok city
2,0,Elim city
2,0,Emmonak city
2,0,Fairbanks city
2,0,False Pass city
2,0,Fort Yukon city
2,0,Galena city
2,0,Gambell city
2,0,Golovin city
2,0,Goodnews Bay city
2,0,Grayling city
2,0,Gustavus city
2,0,Holy Cross city
2,0,Homer city
2,0,Hoonah city
2,0,Hooper Bay city
2,0,Houston city
2,0,Hughes city
2,0,Huslia city
2,0,Hydaburg city
2,0,Juneau city and borough
2,0,Kachemak city
2,0,Kake city
2,0,Kaktovik city
2,0,Kaltag city
2,0,Kasaan city
2,0,Kenai city
2,0,Ketchikan city
2,0,Kiana city
2,0,King Cove city
2,0,Kivalina city
2,0,Klawock city
2,0,Kobuk city
2,0,Kodiak city
2,0,Kotlik city
2,0,Kotzebue city
2,0,Koyuk city
2,0,Koyukuk city
2,0,Kupreanof city
2,0,Kwethluk city
2,0,Larsen Bay city
2,0,Lower Kalskag city
2,0,McGrath city
2,0,Manokotak city
2,0,Marshall city
2,0,Mekoryuk city
2,0,Mountain Village city
