state,county,party,candidate,votes
CA,Sutter,DEM,Hillary Clinton,13076
CA,Tehama,DEM,Hillary Clinton,6809
CA,Trinity,DEM,Hillary Clinton,2214
CA,Tulare,DEM,Hillary Clinton,47585
CA,Tuolumne,DEM,Hillary Clinton,9123
CA,Ventura,DEM,Hillary Clinton,194402
CA,Yolo,DEM,Hillary Clinton,54752
CA,Yuba,DEM,Hillary Clinton,7910
CA,Total,DEM,Hillary Clinton,8753788
CA,Alameda,REP,Donald J. Trump,95922
CA,Alpine,REP,Donald J. Trump,217
CA,Amador,REP,Donald J. Trump,10485
CA,Butte,REP,Donald J. Trump,45144
CA,Calaveras,REP,Donald J. Trump,13511
