state,county,party,candidate,votes
IN,Decatur,Constitution,Darrell L Castle,11
IN,Decatur,Green,Jill Stein,17
IN,Decatur,Independent,Ray C Brown,0
IN,Decatur,Independent,Roque De La Fuente,0
IN,Decatur,Independent,Richard Duncan,0
IN,Decatur,Independent,Cherunda Fox,0
IN,Decatur,Independent,Tom Hoefling,1
IN,Decatur,Independent,Denny Carroll Jackson,0
IN,Decatur,Independent,Melissa L Kelly,0
IN,Decatur,Independent,Laurence Kotlikoff,0
IN,Decatur,Independent,Joseph Maldonado,0
IN,Decatur,Independent,G Mullis,0
IN,Decatur,Independent,Matthew Roberts,0
IN,Decatur,Socialist,Emidio Soltysik,0
IN,DeKalb,Democratic,Hillary Clinton,3941
IN,DeKalb,Libertarian,Gary Johnson,821
IN,DeKalb,Republican,Donald J. Trump,12054
IN,DeKalb,Constitution,Darrell L Castle,21
IN,DeKalb,Green,Jill Stein,61
IN,DeKalb,Independent,Ray C Brown,0
IN,DeKalb,Independent,Roque De La Fuente,0
IN,DeKalb,Independent,Richard Duncan,0
IN,DeKalb,Independent,Cherunda Fox,0
IN,DeKalb,Independent,Tom Hoefling,3
IN,DeKalb,Independent,Denny Carroll Jackson,0
IN,DeKalb,Independent,Melissa L Kelly,0
IN,DeKalb,Independent,Laurence Kotlikoff,0
IN,DeKalb,Independent,Joseph Maldonado,0
IN,DeKalb,Independent,G Mullis,0
IN,DeKalb,Independent,Matthew Roberts,0
IN,DeKalb,Socialist,Emidio Soltysik,0
IN,Delaware,Democratic,Hillary Clinton,18100
IN,Delaware,Libertarian,Gary Johnson,2382
IN,Delaware,Republican,Donald J. Trump,24217
IN,Delaware,Constitution,Darrell L Castle,0
IN,Delaware,Green,Jill Stein,0
IN,Delaware,Independent,Ray C Brown,0
IN,Delaware,Independent,Roque De La Fuente,0
IN,Delaware,Independent,Richard Duncan,0
IN,Delaware,Independent,Cherunda Fox,0
IN,Delaware,Independent,Tom Hoefling,0
IN,Delaware,Independent,Denny Carroll Jackson,0
IN,Delaware,Independent,Melissa L Kelly,0
IN,Delaware,Independent,Laurence Kotlikoff,0
IN,Delaware,Independent,Joseph Maldonado,0
IN,Delaware,Independent,G Mullis,0
IN,Delaware,Independent,Matthew Roberts,0
IN,Delaware,Socialist,Emidio Soltysik,0
IN,Dubois,Democratic,Hillary Clinton,5389
IN,Dubois,Libertarian,Gary Johnson,1163
IN,Dubois,Republican,Donald J. Trump,13365
IN,Dubois,Constitution,Darrell L Castle,15
IN,Dubois,Green,Jill Stein,45
IN,Dubois,Independent,Ray C Brown,0
IN,Dubois,Independent,Roque De La Fuente,0
IN,Dubois,Independent,Richard Duncan,1
IN,Dubois,Independent,Cherunda Fox,0
IN,Dubois,Independent,Tom Hoefling,2
IN,Dubois,Independent,Denny Carroll Jackson,0
IN,Dubois,Independent,Melissa L Kelly,0
IN,Dubois,Independent,Laurence Kotlikoff,1
IN,Dubois,Independent,Joseph Maldonado,0
IN,Dubois,Independent,G Mullis,1
IN,Dubois,Independent,Matthew Roberts,2
IN,Dubois,Socialist,Emidio Soltysik,0
IN,Elkhart,Democratic,Hillary Clinton,20667
IN,Elkhart,Libertarian,Gary Johnson,2710
IN,Elkhart,Republican,Donald J. Trump,41810
IN,Elkhart,Constitution,Darrell L Castle,57
IN,Elkhart,Green,Jill Stein,137
IN,Elkhart,Independent,Ray C Brown,0
IN,Elkhart,Independent,Roque De La Fuente,2
IN,Elkhart,Independent,Richard Duncan,0
IN,Elkhart,Independent,Cherunda Fox,0
IN,Elkhart,Independent,Tom Hoefling,6
IN,Elkhart,Independent,Denny Carroll Jackson,0
IN,Elkhart,Independent,Melissa L Kelly,3
IN,Elkhart,Independent,Laurence Kotlikoff,0
IN,Elkhart,Independent,Joseph Maldonado,0
IN,Elkhart,Independent,G Mullis,0
IN,Elkhart,Independent,Matthew Roberts,3
IN,Elkhart,Socialist,Emidio Soltysik,3
IN,Fayette,Democratic,Hillary Clinton,2223
IN,Fayette,Libertarian,Gary Johnson,436
IN,Fayette,Republican,Donald J. Trump,6783
IN,Fayette,Constitution,Darrell L Castle,0
IN,Fayette,Green,Jill Stein,0
IN,Fayette,Independent,Ray C Brown,0
IN,Fayette,Independent,Roque De La Fuente,0
IN,Fayette,Independent,Richard Duncan,0
IN,Fayette,Independent,Cherunda Fox,0
IN,Fayette,Independent,Tom Hoefling,0
IN,Fayette,Independent,Denny Carroll Jackson,0
IN,Fayette,Independent,Melissa L Kelly,0
IN,Fayette,Independent,Laurence Kotlikoff,0
